host_name,host_id,host_type,host_ips,multiple_networks,stream_info,status_info,error_code,error_description,multiple_networks_list,is_archived
s0464-fsk02,17D9C6EA-A544-1005-AA52-0050568505BC,host,['10.187.66.171'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
usco-pwds-tr01,30BD2F33-226E-4CCC-B470-A8CE4D37DEB0,host,['172.28.245.23'],['172.28.245.0/24'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'PCI Scope', 'network_key': '/dc/network/AFCAA647-AA73-428F-A55A-9F028F7C40B5', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s999-boh,32E8F658-A45C-1005-9F1B-0050568525D9,host,['10.187.66.169'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
hq-dc2,704225BE-3554-1005-8663-0050568525D9,host,['172.30.5.101'],['172.30.5.0/24'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'PCI Scope', 'network_key': '/dc/network/AFCAA647-AA73-428F-A55A-9F028F7C40B5', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
usco-swrs-rv01,82F52C8A-5432-1005-B1B3-0050568505BC,host,"['172.28.92.200', '172.28.92.201']",['172.28.92.0/24'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
usco-swww-rv02,952DB28D-5411-1005-B1B3-0050568505BC,host,"['172.28.92.20', '172.28.92.21', '172.28.92.22', '172.28.92.23', '172.28.92.24', '172.28.92.25']",['172.28.92.0/24'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s9998-boh,9D75A691-4F56-1005-98AA-0050568505BC,host,['172.30.66.47'],['172.30.66.0/23'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s308-boh,A7160E97-3D89-438F-822C-B48ACFC7F978,host,"['10.184.210.169', '169.254.231.208']","['10.184.210.160/27', '169.254.0.0/16']",orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'alert-logic-04 Assignment', 'network_key': '/dc/dc-default-1/vpc/1F6FCFE4-A796-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
hq-dc1,B8CBEF5C-36F8-1005-8663-0050568525D9,host,['172.30.5.100'],['172.30.5.0/24'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'COLO', 'network_key': '/dc/network/A458D7C9-3887-4979-8B2D-B54781AD7927', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'PCI Scope', 'network_key': '/dc/network/AFCAA647-AA73-428F-A55A-9F028F7C40B5', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s464-term2,EF7614FF-5D5A-1005-B1B3-0050568505BC,host,['10.187.66.163'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s464-term1,EF7F0158-5D5A-1005-BD0A-0050568525D9,host,['10.187.66.162'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s464-term4,F8659B4D-5D5A-1005-BD0A-0050568525D9,host,['10.187.66.165'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
s464-term3,FFEA4708-A543-1005-AA52-0050568505BC,host,['10.187.66.164'],['10.187.66.160/27'],orphaned,error,multiple_networks,"Failed to reclaim, multiple matching networks found","[{'network_1': {'network_name': 'lm', 'network_key': '/dc/dc-default-1/vpc/lm', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}, {'network_2': {'network_name': 'alert-logic-05 Assignment', 'network_key': '/dc/dc-default-1/vpc/BCFB5F54-A795-1005-8F52-005056856BE6', 'deployment_id': '4E27B300-FE64-680D-D73E-F0B7B84020F8'}}]",False
